cohort,time,event_time,estimate,std_error
31,16,-15,-0.04164712786923794,0.007711446818827845
31,17,-14,-0.0470522719657242,0.00726148828302927
31,18,-13,-0.04518288042702723,0.006174849978551089
31,19,-12,-0.03243398859929458,0.009253205985665765
31,20,-11,-0.03756686448894457,0.006102539127169263
31,21,-10,-0.03331845354590274,0.006193001812308652
31,22,-9,-0.03783000277509269,0.004687471419947156
31,23,-8,-0.024292558658444346,0.007696637808212752
31,24,-7,-0.02301722373116097,0.005376321443978704
31,25,-6,-0.01852207799903284,0.00596464368753515
31,26,-5,-0.01884335249129855,0.003298007946022224
31,27,-4,-0.0027757803254023702,0.006119386454457502
31,28,-3,-0.005463704513825406,0.003612452651845028
31,29,-2,-0.003393564300645184,0.005356258544574041
31,30,-1,0,NA
31,31,0,0.006523965620716072,0.005073010745619827
31,32,1,0.004708602492893572,0.0028311363449220234
31,33,2,0.005666008383547336,0.004051988611330129
31,34,3,0.013898815959886752,0.002209596135953691
31,35,4,0.027390435480093654,0.004258699154911544
31,36,5,0.020505441846500834,0.0032323118061591076
31,37,6,0.01635090593813532,0.004887153247300166
31,38,7,0.018626435440877154,0.003711438853020931
31,39,8,0.028538718215774965,0.004819494393383001
31,40,9,0.023768371365402535,0.004682313482307037
31,41,10,0.010427991697916193,0.006046749501015152
31,42,11,0.014636420061709988,0.005611217167456776
31,43,12,0.025716332492691736,0.006390759723921405
31,44,13,0.014345564919817831,0.006184684921355841
33,1,-32,-0.03869867340364763,0.012001584164058395
33,2,-31,-0.02569845292023279,0.04779449313853407
33,3,-30,0.0014490951242478178,0.08188736558596617
33,4,-29,-0.023943178305198293,0.04205161651036042
33,5,-28,-0.03426066249932497,0.017753413410995976
33,6,-27,-0.02365806166149939,0.05219644699470964
33,7,-26,0.001967555327128223,0.08455683956262199
33,8,-25,-0.0238445695636825,0.03798612565717258
33,9,-24,-0.034943328449214855,0.013437014323607138
33,10,-23,-0.0210899561383667,0.04553867062158785
33,11,-22,0.006520454073813756,0.07918386773295956
33,12,-21,-0.023860528909050466,0.029887552706818244
33,13,-20,-0.03773239372652329,0.012774267405527125
33,14,-19,-0.02292641331606364,0.04443692327581882
33,15,-18,-0.0013822122116852464,0.07027946281917709
33,16,-17,-0.029052215522165317,0.02371513413775521
33,17,-16,-0.03672245951326006,0.011823609845554034
33,18,-15,-0.01861535327806206,0.03834577762023205
33,19,-14,0.007514883812368117,0.06911975758422532
33,20,-13,-0.021381018705213264,0.018884945838996674
33,21,-12,-0.027508094639455735,0.013601233076819135
33,22,-11,-0.015640914045566875,0.02865353312187656
33,23,-10,0.011068430826903251,0.05968353603179011
33,24,-9,-0.018650883973675113,0.009909974302550886
33,25,-8,-0.02395465118014374,0.018341605598650102
33,26,-7,-0.009055832330639143,0.020020809630995954
33,27,-6,0.015013310118507513,0.050839751795027296
33,28,-5,-0.01598496125875595,0.003350220386953906
33,29,-4,-0.019455809352705467,0.02234441232707167
33,30,-3,-0.0028229953751816687,0.015645839658124293
33,31,-2,0.026980173338685545,0.04631076327918443
33,32,-1,0,NA
33,33,0,-0.008051141164189464,0.02114719501803492
33,34,1,0.00970564565525318,0.014692517833706635
33,35,2,0.03449258157979175,0.04459550546918848
33,36,3,0.009766091240628272,0.003126585116921554
33,37,4,9.107469646784522e-5,0.02825791335567725
33,38,5,0.018201724216313518,0.012277472072626585
33,39,6,0.0417762412856304,0.04532314541258677
33,40,7,0.014395270624237094,0.004927446123100845
33,41,8,9.052843696710465e-4,0.025102909096909643
33,42,9,0.018725951782458936,0.012459070464855806
33,43,10,0.0445289010309933,0.04141581806044768
33,44,11,0.011323534019190111,0.0075826508189364384
41,1,-40,0.011861396007542574,0.043053510799464643
41,2,-39,0.06161618730635107,0.023771907499932878
41,3,-38,0.0757266180314366,0.01743389615956947
41,4,-37,0.04619530511033071,0.029391538647696457
41,5,-36,0.016479062339241596,0.0398346852390582
41,6,-35,0.06669173153481418,0.01697006143415524
41,7,-34,0.09223544909282755,0.01960388067320836
41,8,-33,0.05490326671310189,0.02013831180207921
41,9,-32,0.017498763064875522,0.02766435671212543
41,10,-31,0.05634367083858832,0.013238657597587885
41,11,-30,0.07346271825642874,0.019442170183060114
41,12,-29,0.03159602775895248,0.022279190389043066
41,13,-28,0.009944378132118153,0.021352142917934632
41,14,-27,0.04897194368552682,0.012899881370384688
41,15,-26,0.054832522937165035,0.019340920702947337
41,16,-25,0.022855676605971625,0.019291010062983425
41,17,-24,0.004760520517496952,0.02147138274679878
41,18,-23,0.046939633908118644,0.01166200682315317
41,19,-22,0.053737981312157956,0.022401567414464595
41,20,-21,0.018023299669744988,0.015032087887838266
41,21,-20,-0.004356855202066134,0.021035088429321946
41,22,-19,0.03973205239894373,0.009017945745418665
41,23,-18,0.04595840775161904,0.020766987132201733
